Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IND-01000,2024-08-02,2024-08-04,Express Delivery,CUST-1383,Corporate,India,Ludhiana,Punjab,141244,North,Office Supplies,Paper,Chart Paper Pack,147.0,1,0.0,13.23
IND-01001,2022-03-24,2022-03-25,Same Day Delivery,CUST-2393,Small Business,India,Srinagar,Jammu & Kashmir,553143,North,Home & Kitchen,Appliances,Usha Sewing Machine,9373.48,2,0.1,1968.43
IND-01002,2022-07-24,2022-07-30,Standard Delivery,CUST-1511,Consumer,India,Jodhpur,Rajasthan,672275,North,Office Supplies,Stationery,Classmate Notebook Pack,209.91,1,0.1,10.5
IND-01003,2023-02-15,2023-02-20,Standard Delivery,CUST-4549,Consumer,India,Hisar,Haryana,354098,North,Office Supplies,Labels,Barcode Labels,250.97,2,0.15,3.76
IND-01004,2021-07-26,2021-07-28,Express Delivery,CUST-3986,Government,India,Karimnagar,Telangana,670086,South,Clothing,Kids Wear,Kids Denim Set,730.93,1,0.05,135.22
IND-01005,2022-05-17,2022-05-23,Standard Delivery,CUST-2096,Consumer,India,Haldwani,Uttarakhand,530651,North,Clothing,Kids Wear,Kids Denim Set,2203.06,3,0.2,176.24
IND-01006,2021-05-16,2021-05-22,Standard Delivery,CUST-2754,Consumer,India,Mandi,Himachal Pradesh,722982,North,Office Supplies,Paper,Colour Paper Pack,196.04,1,0.25,-16.66
IND-01007,2024-04-10,2024-04-16,Standard Delivery,CUST-1260,Consumer,India,Karimnagar,Telangana,735380,South,Furniture,Tables,Foldable Table,4314.29,2,0.2,-86.29
IND-01008,2023-02-28,2023-03-02,Same Day Delivery,CUST-2202,Small Business,India,Khammam,Telangana,226970,South,Clothing,Kids Wear,Kids School Uniform,1780.88,3,0.0,356.18
IND-01009,2023-06-10,2023-06-11,Same Day Delivery,CUST-2531,Corporate,India,Haldwani,Uttarakhand,270263,North,Electronics,Televisions,"Vu 4K 50""",66386.4,3,0.1,13277.28
IND-01010,2021-11-27,2021-12-02,Standard Delivery,CUST-4596,Small Business,India,Hazaribagh,Jharkhand,362572,East,Electronics,Televisions,"MI TV 43""",31181.51,1,0.3,1247.26
IND-01011,2024-03-07,2024-03-13,Standard Delivery,CUST-4804,Corporate,India,Gurugram,Haryana,332086,North,Clothing,Men's Wear,Peter England Trousers,4838.09,3,0.0,1403.05
IND-01012,2024-01-10,2024-01-15,Standard Delivery,CUST-2384,Corporate,India,Rewa,Madhya Pradesh,177136,Central,Furniture,Sofas,Recliner 2 Seater,236056.49,10,0.15,27146.5
IND-01013,2021-02-13,2021-02-19,Standard Delivery,CUST-3105,Consumer,India,Tezpur,Assam,184299,East,Furniture,Beds,King Size Bed,15799.5,1,0.15,1500.95
IND-01014,2022-05-03,2022-05-09,Standard Delivery,CUST-1386,Consumer,India,Erode,Tamil Nadu,309659,South,Furniture,Beds,King Size Bed,50101.59,3,0.25,1252.54
IND-01015,2021-07-18,2021-07-24,Standard Delivery,CUST-4279,Government,India,Kolhapur,Maharashtra,465784,West,Office Supplies,Printers,Brother MFC,26555.36,2,0.15,5709.4
IND-01016,2021-08-12,2021-08-17,Standard Delivery,CUST-3671,Small Business,India,Jammu,Jammu & Kashmir,163045,North,Furniture,Beds,Bunk Bed,15108.17,1,0.0,2568.39
IND-01017,2024-01-13,2024-01-19,Standard Delivery,CUST-4795,Consumer,India,Kanpur,Uttar Pradesh,388085,North,Furniture,Tables,Study Table,7150.84,2,0.05,822.35
IND-01018,2023-07-21,2023-07-27,Standard Delivery,CUST-1205,Corporate,India,Mangaluru,Karnataka,169942,South,Home & Kitchen,Bedding,Woollen Blanket,1058.76,1,0.05,174.7
