Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
IND-01394,2021-01-01,2021-01-07,Standard Delivery,CUST-1088,Consumer,India,Panaji,Goa,399362,West,Office Supplies,Labels,Address Labels Roll,139.1,2,0.5,-34.77
IND-13889,2021-01-01,2021-01-04,Express Delivery,CUST-2808,Consumer,India,Rourkela,Odisha,494256,East,Clothing,Footwear,Bata Formal Shoes,22639.65,10,0.0,6791.9
IND-04619,2021-01-01,2021-01-03,Express Delivery,CUST-1209,Corporate,India,Meerut,Uttar Pradesh,309893,North,Furniture,Storage,Filing Cabinet,4048.0,1,0.4,-364.32
IND-15056,2021-01-02,2021-01-08,Standard Delivery,CUST-1046,Corporate,India,Solapur,Maharashtra,227720,West,Clothing,Mens Wear,Raymond Formal Shirt,1201.69,1,0.0,360.51
IND-09839,2021-01-02,2021-01-10,Economy Delivery,CUST-1434,Small Business,India,Margao,Goa,759867,West,Office Supplies,Stationery,Pen Set Cello,99.1,1,0.05,6.44
IND-06679,2021-01-02,2021-01-07,Standard Delivery,CUST-1395,Government,India,Karimnagar,Telangana,582110,South,Clothing,Mens Wear,Nike T-Shirt,949.3,1,0.0,265.8
IND-13375,2021-01-02,2021-01-08,Standard Delivery,CUST-1717,Consumer,India,Bhilai,Chhattisgarh,608056,Central,Home & Kitchen,Cookware,Tawa Dosa,542.73,1,0.1,48.85
IND-07742,2021-01-02,2021-01-07,Standard Delivery,CUST-3392,Consumer,India,Erode,Tamil Nadu,112375,South,Office Supplies,Binders,File Folder Pack,566.13,4,0.2,-11.32
IND-14214,2021-01-02,2021-01-09,Economy Delivery,CUST-3129,Consumer,India,Aurangabad,Maharashtra,599062,West,Office Supplies,Printers,Epson EcoTank,136299.62,10,0.0,40889.89
IND-08948,2021-01-02,2021-01-10,Economy Delivery,CUST-3906,Consumer,India,Hisar,Haryana,483007,North,Furniture,Beds,Single Bed Storage,35426.47,3,0.0,5668.24
IND-15601,2021-01-02,2021-01-04,Express Delivery,CUST-2850,Corporate,India,Ambala,Haryana,435382,North,Office Supplies,Binders,Ring Binder A4,819.82,3,0.1,65.59
IND-06294,2021-01-02,2021-01-05,Express Delivery,CUST-2281,Government,India,Jabalpur,Madhya Pradesh,560052,Central,Electronics,Accessories,MI Power Bank 20K,1923.23,2,0.1,211.56
IND-16205,2021-01-03,2021-01-10,Economy Delivery,CUST-4906,Corporate,India,Manali,Himachal Pradesh,526167,North,Electronics,Mobile Phones,OnePlus Nord 3,83762.94,4,0.15,18009.03
IND-01492,2021-01-03,2021-01-05,Express Delivery,CUST-4226,Corporate,India,Agartala,Tripura,194891,East,Clothing,Kids Wear,Kids School Uniform,525.46,1,0.2,31.53
IND-11396,2021-01-03,2021-01-08,Standard Delivery,CUST-1044,Corporate,India,Kochi,Kerala,263224,South,Electronics,Televisions,MI TV 43,50480.44,2,0.0,12620.11
IND-01237,2021-01-03,2021-01-10,Economy Delivery,CUST-3914,Government,India,Rewa,Madhya Pradesh,403418,Central,Clothing,Kids Wear,Kids School Uniform,314.24,1,0.5,-47.14
IND-13621,2021-01-03,2021-01-05,Express Delivery,CUST-3481,Consumer,India,Rajkot,Gujarat,222475,West,Office Supplies,Printers,HP LaserJet,11270.53,1,0.05,2761.28
IND-02351,2021-01-03,2021-01-09,Standard Delivery,CUST-1485,Small Business,India,Bhilai,Chhattisgarh,258770,Central,Home & Kitchen,Decor,Photo Frame Set,1083.79,3,0.1,86.7
IND-16501,2021-01-03,2021-01-08,Standard Delivery,CUST-3000,Government,India,Darbhanga,Bihar,332012,East,Office Supplies,Labels,Name Badge Labels,186.39,2,0.05,10.25
IND-10542,2021-01-03,2021-01-11,Economy Delivery,CUST-3839,Small Business,India,Jabalpur,Madhya Pradesh,315702,Central,Home & Kitchen,Appliances,Usha Sewing Machine,9201.21,3,0.4,0.0
IND-07551,2021-01-03,2021-01-09,Standard Delivery,CUST-1612,Consumer,India,Anantnag,Jammu & Kashmir,287982,North,Home & Kitchen,Appliances,Bajaj Mixer Grinder,6746.44,3,0.0,1686.61
IND-07575,2021-01-03,2021-01-05,Express Delivery,CUST-4891,Consumer,India,Navi Mumbai,Maharashtra,710206,West,Electronics,Accessories,MI Power Bank 20K,8444.01,10,0.1,928.84
IND-03795,2021-01-03,2021-01-06,Express Delivery,CUST-4978,Government,India,Bhagalpur,Bihar,469940,East,Furniture,Chairs,Recliner Chair,13874.5,1,0.15,2428.04
IND-12393,2021-01-03,2021-01-08,Standard Delivery,CUST-1550,Corporate,India,Jalandhar,Punjab,550322,North,Home & Kitchen,Appliances,Usha Sewing Machine,19826.56,4,0.15,3469.65
IND-06211,2021-01-04,2021-01-12,Economy Delivery,CUST-3991,Corporate,India,Pitampura,Delhi,479701,North,Office Supplies,Stationery,Highlighter Set,330.04,2,0.1,19.8
